Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2013,MOHAWK INDUSTRIESINC.,United States,Manufacture of furniture; manufacturing n.e.c. 36,-9.51,-106.04,650680403,174100,8649819,2012798,"-29,933",335726,36832880,"78,754",8,698636906
2017,WYNN RESORTSLIMITED,United States,Recreationalcultural and sporting activities 92,-1.6,-9.55,89678243,-20289,1133899,264900,"-3,634","-7,888",9731446,"-2,013",5,100842312
2012,PERSIMMON PLC,United Kingdom,Construction 45,-0.13,-1.09,3572863,-1041,"-47,811","-11,117",-171,"-1,591","-19,545",571,13,3653567
2018,LG ELECTRONICS INCORPORATED,South Korea,Computer and related activities 72,-1.16,-26.31,612792826,143468,7420209,1715061,"-26,351",1099386,15658827,"42,406",17,638813722
2015,PANDOX AB,Sweden,Other service activities 93,-0.98,-3.41,4097831,-951,"-54,469","-12,768",-172,-285,"-24,097",35,1,4190538
2012,STATE STREET CORP,United States,Financial intermediationexcept insurance and pension funding 65,-0.25,-0.88,23049012,-6349,305968,"-71,556","-1,079","-6,843","-53,241","3,201",8,23490846
2018,TAINAN SPINNING COMPANY LIMITED,Taiwan,Manufacture of textiles 17,-8.52,-310.99,65459808,-16503,858109,201298,"-2,790","-35,878",2866254,"1,268",4,69439372
2016,KT & G CORPORATION,South Korea,Manufacture of tobacco products 16,-0.61,-1.86,21899218,-8127,277715,"-64,188","-1,230","-47,476",456301,"8,641",20,22745614
2018,DENSO CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-1.3,-17.14,587523223,142254,7860430,1833799,"-25,393","-39,526",10096369,"26,169",1,607494824
2017,LOGITECH INTERNATIONAL SA,Switzerland,Manufacture of office machinery and computers 30,-0.21,-2.29,4428708,-1304,"-59,998","-13,372",-206,-877,107004,626,11,4610843
